,round,time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
0,1,2022-06-19 01:00:00+09:00,6.5,19.990000000000002,93.5,1009.0,2.83,157.0,0.0,0.0,18.3333,16.0934,0.0,6.70428,-31.5296
1,1,2022-06-19 02:00:00+09:00,15.5,20.015,94.5,1009.0,2.855,153.5,0.0,0.0,18.3333,16.0934,0.0,22.1964,-28.4404
2,1,2022-06-19 03:00:00+09:00,26.5,20.11,95.5,1008.5,2.76,159.5,0.0,0.0,18.3333,16.0934,0.0,35.9194,-22.4374
3,1,2022-06-19 04:00:00+09:00,97.5,20.270000000000003,95.5,1008.0,2.815,160.5,0.0,0.0,17.7778,16.0934,0.0,47.5577,-14.2214
4,1,2022-06-19 05:00:00+09:00,98.5,20.384999999999998,95.5,1008.5,2.9000000000000004,159.5,0.0,0.0,18.3333,16.0934,0.0,57.3782,-4.4447
5,1,2022-06-19 06:00:00+09:00,99.0,20.4,95.0,1008.5,2.575,151.0,0.0,0.0,18.8889,16.0934,0.0,65.8614,6.39544
6,1,2022-06-19 07:00:00+09:00,99.5,20.63,94.5,1009.0,2.255,153.5,0.0,0.0,19.4444,16.0934,0.0,73.5196,17.9461
7,1,2022-06-19 08:00:00+09:00,99.5,20.865000000000002,93.5,1008.5,2.8,168.5,0.0,0.0,19.4444,16.0934,1.0,80.8871,29.9536
8,1,2022-06-19 09:00:00+09:00,99.5,21.125,92.5,1008.5,3.21,178.0,0.0,0.0,18.8889,16.0934,1.0,88.6491,42.2134
9,1,2022-06-19 10:00:00+09:00,100.0,21.405,91.0,1008.5,3.1550000000000002,193.0,0.0,0.0,18.3333,16.0934,3.0,98.0436,54.5033
10,1,2022-06-19 11:00:00+09:00,91.0,21.71,88.5,1008.0,2.365,197.5,0.0,0.0,18.3333,16.0934,5.0,112.342,66.4014
11,1,2022-06-19 12:00:00+09:00,77.0,22.560000000000002,83.5,1008.0,2.005,191.5,0.0,0.0,18.3333,16.0934,11.0,143.612,76.3123
12,1,2022-06-19 13:00:00+09:00,64.0,23.51,80.0,1007.0,2.8899999999999997,190.0,0.0,0.0,17.7778,16.0934,11.0,207.104,77.44
13,1,2022-06-19 14:00:00+09:00,56.5,24.195,77.5,1006.0,3.79,178.5,0.0,0.0,18.8889,16.0934,8.0,244.082,68.3532
14,1,2022-06-19 15:00:00+09:00,47.5,24.545,76.0,1006.0,4.48,178.0,0.0,0.0,18.3333,16.0934,5.0,259.989,56.6154
15,1,2022-06-19 16:00:00+09:00,2.0,24.48,76.5,1006.0,4.6,171.5,0.0,0.0,18.3333,16.0934,3.0,269.895,44.3523
16,1,2022-06-19 17:00:00+09:00,3.0,24.369999999999997,76.5,1006.0,4.63,170.5,0.0,0.0,18.3333,16.0934,2.0,277.825,32.07
17,1,2022-06-19 18:00:00+09:00,3.0,23.950000000000003,78.0,1005.5,4.865,162.5,0.0,0.0,18.8889,16.0934,1.0,285.204,20.0055
18,1,2022-06-19 19:00:00+09:00,12.5,23.18,82.0,1005.5,4.285,160.0,0.0,0.0,18.8889,16.0934,0.0,292.772,8.36063
19,1,2022-06-19 20:00:00+09:00,11.5,22.335,86.0,1005.5,3.795,152.0,0.0,0.0,18.8889,16.0934,0.0,301.076,-2.62317
20,1,2022-06-19 21:00:00+09:00,9.5,21.57,90.0,1006.0,3.09,136.0,0.0,0.0,18.8889,16.0934,0.0,310.629,-12.6137
21,1,2022-06-19 22:00:00+09:00,0.5,21.225,93.0,1006.0,2.965,123.0,0.0,0.0,19.4444,16.0934,0.0,321.922,-21.141
22,1,2022-06-19 23:00:00+09:00,7.0,20.92,94.5,1006.0,3.075,112.0,0.0,0.0,18.8889,16.0934,0.0,335.283,-27.5771
23,1,2022-06-20 00:00:00+09:00,10.0,20.745,95.0,1006.0,2.9450000000000003,100.5,0.0,0.0,18.8889,16.0934,0.0,350.525,-31.2142
24,1,2022-06-20 01:00:00+09:00,38.0,20.8,91.5,1006.0,1.425,80.5,0.0,0.0,21.1111,16.0934,0.0,6.64429,-31.5196
25,1,2022-06-20 02:00:00+09:00,39.5,20.63,92.5,1005.5,1.345,102.0,0.0,0.0,20.5556,14.7416,0.0,22.1373,-28.4431
26,1,2022-06-20 03:00:00+09:00,48.0,20.494999999999997,93.0,1005.0,1.2650000000000001,94.5,0.0,0.0,20.5556,13.4058,0.0,35.8651,-22.4511
27,1,2022-06-20 04:00:00+09:00,99.5,20.525,93.0,1005.0,1.5299999999999998,85.0,0.0,0.0,20.5556,12.0701,0.0,47.5093,-14.2435
28,1,2022-06-20 05:00:00+09:00,96.0,20.490000000000002,93.0,1005.0,1.5350000000000001,79.5,0.0,0.0,20.0,10.7182,0.0,57.3346,-4.47298
29,1,2022-06-20 06:00:00+09:00,96.0,20.595,92.5,1005.5,1.835,56.5,0.0,0.0,20.5556,9.38248,0.0,65.8211,6.36272
30,1,2022-06-20 07:00:00+09:00,94.0,20.97,90.5,1006.0,1.835,54.0,0.0,0.0,21.1111,8.04672,0.0,73.4805,17.9103
31,1,2022-06-20 08:00:00+09:00,89.0,21.455,88.0,1006.0,1.52,73.0,0.0,0.0,20.5556,8.04672,1.0,80.8466,29.9158
32,1,2022-06-20 09:00:00+09:00,88.5,22.105,86.0,1006.0,0.94,51.5,0.0,0.0,20.0,8.04672,1.0,88.6034,42.1746
33,1,2022-06-20 10:00:00+09:00,35.5,22.695,84.0,1005.0,0.755,123.0,0.0,0.0,18.8889,8.04672,2.0,97.9845,54.465
34,1,2022-06-20 11:00:00+09:00,22.5,23.245,82.0,1005.0,1.51,284.5,0.0,0.0,18.3333,8.04672,3.0,112.247,66.3671
35,1,2022-06-20 12:00:00+09:00,18.5,23.549999999999997,81.0,1005.0,2.7800000000000002,270.5,0.0,0.0,18.8889,8.04672,3.0,143.407,76.296
36,1,2022-06-20 13:00:00+09:00,18.0,23.785,80.5,1004.5,3.575,279.5,0.0,0.0,20.5556,8.04672,3.0,206.917,77.4711
37,1,2022-06-20 14:00:00+09:00,17.0,24.095,79.5,1004.0,3.825,272.5,0.0,0.0,21.1111,8.04672,3.0,244.027,68.4002
38,1,2022-06-20 15:00:00+09:00,14.5,23.93,80.5,1004.0,3.955,265.5,0.0,0.0,21.6667,8.04672,2.0,259.964,56.6647
39,1,2022-06-20 16:00:00+09:00,1.0,23.655,81.5,1004.0,3.24,263.0,0.0,0.0,21.6667,8.04672,1.0,269.878,44.4018
40,1,2022-06-20 17:00:00+09:00,2.5,23.675,81.0,1003.0,2.165,263.0,0.0,0.0,21.1111,8.04672,1.0,277.809,32.1192
41,1,2022-06-20 18:00:00+09:00,17.5,23.535,81.0,1003.0,1.6150000000000002,301.0,0.0,0.0,20.5556,8.04672,0.0,285.187,20.0539
42,1,2022-06-20 19:00:00+09:00,24.0,23.23,82.5,1004.0,1.025,192.5,0.0,0.0,20.5556,11.2654,0.0,292.752,8.40755
43,1,2022-06-20 20:00:00+09:00,22.5,22.62,84.5,1004.0,1.905,233.5,0.0,0.0,21.1111,11.2654,0.0,301.052,-2.57857
44,1,2022-06-20 21:00:00+09:00,19.0,22.18,87.0,1004.0,2.3,216.0,0.0,0.0,21.1111,11.2654,0.0,310.598,-12.5727
45,1,2022-06-20 22:00:00+09:00,0.0,21.925,88.5,1005.0,3.0349999999999997,213.5,0.0,0.0,21.1111,11.2654,0.0,321.883,-21.1057
46,1,2022-06-20 23:00:00+09:00,2.0,21.784999999999997,89.0,1004.5,3.03,229.0,0.0,0.0,21.1111,9.65606,0.0,335.235,-27.55
47,1,2022-06-21 00:00:00+09:00,16.5,21.83,88.5,1004.5,2.765,103.5,0.0,0.0,20.5556,9.65606,0.0,350.468,-31.1982
48,1,2022-06-21 01:00:00+09:00,13.5,21.01,93.5,1003.0,3.63,82.0,0.0,0.0,20.5556,9.65606,0.0,6.58502,-31.5164
49,1,2022-06-21 02:00:00+09:00,23.5,21.17,93.0,1003.0,3.66,73.5,0.0,0.0,19.4444,7.49954,0.0,22.0807,-28.4523
50,1,2022-06-21 03:00:00+09:00,35.0,21.225,93.0,1002.5,3.6399999999999997,69.0,0.12,0.0,20.0,6.96846,0.0,35.8147,-22.4706
51,1,2022-06-21 04:00:00+09:00,99.0,21.395,92.5,1002.5,4.05,58.5,0.0,0.0,20.0,6.43738,0.0,47.4654,-14.2708
52,1,2022-06-21 05:00:00+09:00,99.5,21.62,91.5,1002.5,4.375,59.0,0.055,0.0,20.0,7.49954,0.0,57.2962,-4.50583
53,1,2022-06-21 06:00:00+09:00,97.0,21.740000000000002,91.5,1002.5,4.615,76.5,0.055,0.0,20.0,6.96846,0.0,65.7864,6.32597
54,1,2022-06-21 07:00:00+09:00,85.0,21.950000000000003,91.0,1002.5,4.46,78.5,0.0,0.0,20.5556,16.0934,1.0,73.4475,17.8709
55,1,2022-06-21 08:00:00+09:00,73.0,22.475,88.5,1002.5,4.455,80.0,0.0,0.0,20.5556,16.0934,1.0,80.8132,29.8746
56,1,2022-06-21 09:00:00+09:00,63.0,23.055,85.0,1002.5,4.46,80.0,0.0,0.0,20.0,16.0934,2.0,88.566,42.1326
57,1,2022-06-21 10:00:00+09:00,28.5,23.57,82.5,1003.0,3.9050000000000002,71.0,0.0,0.0,18.3333,16.0934,3.0,97.9359,54.4234
58,1,2022-06-21 11:00:00+09:00,36.0,23.75,82.0,1003.0,4.835,90.0,0.0,0.0,17.2222,16.0934,4.0,112.165,66.3288
59,1,2022-06-21 12:00:00+09:00,38.0,23.95,81.0,1003.0,4.175,88.0,0.0,0.0,17.7778,16.0934,3.0,143.217,76.2738
60,1,2022-06-21 13:00:00+09:00,35.0,24.53,78.0,1002.0,3.3499999999999996,85.5,0.0,0.0,18.3333,16.0934,2.0,206.715,77.4958
61,1,2022-06-21 14:00:00+09:00,34.0,24.95,76.5,1002.0,2.145,67.0,0.0,0.0,18.8889,16.0934,2.0,243.957,68.4432
62,1,2022-06-21 15:00:00+09:00,38.0,24.68,77.5,1002.0,1.56,36.5,0.0,0.0,19.4444,16.0934,1.0,259.929,56.7108
63,1,2022-06-21 16:00:00+09:00,59.5,24.23,80.5,1002.0,1.7799999999999998,173.5,0.0,0.0,20.0,16.0934,1.0,269.852,44.4484
64,1,2022-06-21 17:00:00+09:00,58.0,24.240000000000002,80.5,1002.0,2.125,180.0,0.0,0.0,20.5556,16.0934,0.0,277.786,32.1653
65,1,2022-06-21 18:00:00+09:00,60.5,24.1,81.5,1002.0,2.205,180.5,0.0,0.0,20.5556,16.0934,0.0,285.164,20.0988
66,1,2022-06-21 19:00:00+09:00,60.0,23.75,83.0,1003.0,3.6100000000000003,172.5,0.0,0.0,20.5556,16.0934,0.0,292.727,8.45063
67,1,2022-06-21 20:00:00+09:00,60.5,23.3,85.0,1003.5,2.645,190.0,0.0,0.0,20.5556,16.0934,0.0,301.022,-2.53835
68,1,2022-06-21 21:00:00+09:00,60.5,23.075000000000003,86.0,1004.0,2.165,50.0,0.0,0.0,21.1111,16.0934,0.0,310.562,-12.5368
69,1,2022-06-21 22:00:00+09:00,88.5,23.1,86.5,1004.5,2.34,85.5,0.0,0.0,21.1111,8.04672,0.0,321.84,-21.0761
70,1,2022-06-21 23:00:00+09:00,84.5,22.975,87.5,1005.0,2.215,76.5,0.0,0.0,21.6667,16.0934,0.0,335.183,-27.5293
71,1,2022-06-22 00:00:00+09:00,85.5,22.9,88.0,1005.0,2.5599999999999996,83.0,0.0,0.0,21.6667,16.0934,0.0,350.411,-31.189
72,1,2022-06-22 01:00:00+09:00,53.5,21.56,89.5,1006.0,1.93,296.0,0.0,0.0,20.0,16.0934,0.0,6.52656,-31.52
73,1,2022-06-22 02:00:00+09:00,55.5,21.415,90.5,1006.0,1.8399999999999999,295.5,0.0,0.0,19.4444,3.21869,0.0,22.0267,-28.4679
74,1,2022-06-22 03:00:00+09:00,58.0,21.33,90.5,1006.0,1.56,334.5,0.0,0.0,20.0,3.21869,0.0,35.7681,-22.4959
75,1,2022-06-22 04:00:00+09:00,51.0,21.174999999999997,91.0,1006.0,1.1749999999999998,16.5,0.0,0.0,20.0,1.60934,0.0,47.4262,-14.3032
76,1,2022-06-22 05:00:00+09:00,31.5,21.18,90.5,1006.0,1.6099999999999999,20.5,0.0,0.0,20.0,16.0934,0.0,57.263,-4.5432
77,1,2022-06-22 06:00:00+09:00,21.5,21.18,90.5,1007.0,1.375,49.0,0.0,0.0,20.5556,16.0934,0.0,65.7573,6.28524
78,1,2022-06-22 07:00:00+09:00,21.5,21.6,88.5,1007.0,1.31,64.5,0.0,0.0,20.0,16.0934,0.0,73.4208,17.8279
79,1,2022-06-22 08:00:00+09:00,22.5,22.205,85.0,1007.0,1.12,81.0,0.0,0.0,19.4444,16.0934,1.0,80.7868,29.8302
80,1,2022-06-22 09:00:00+09:00,29.5,22.85,82.0,1008.0,1.125,187.0,0.0,0.0,18.8889,16.0934,1.0,88.5369,42.0876
81,1,2022-06-22 10:00:00+09:00,97.0,23.36,79.5,1008.0,2.3899999999999997,228.0,0.0,0.0,18.8889,16.0934,2.0,97.8978,54.3786
82,1,2022-06-22 11:00:00+09:00,98.5,23.689999999999998,79.0,1008.0,3.1100000000000003,237.0,0.0,0.0,19.4444,16.0934,2.0,112.099,66.2866
83,1,2022-06-22 12:00:00+09:00,92.5,23.740000000000002,79.5,1008.0,3.5549999999999997,238.5,0.0,0.0,20.5556,16.0934,3.0,143.043,76.2456
84,1,2022-06-22 13:00:00+09:00,80.5,23.75,80.5,1008.0,3.59,239.0,0.0,0.0,20.5556,16.0934,2.0,206.5,77.5141
85,1,2022-06-22 14:00:00+09:00,71.0,23.81,81.0,1008.0,3.8449999999999998,231.5,0.0,0.0,21.1111,16.0934,2.0,243.871,68.482
86,1,2022-06-22 15:00:00+09:00,60.5,23.825000000000003,82.0,1007.0,4.46,228.0,0.0,0.0,20.5556,16.0934,1.0,259.882,56.7536
87,1,2022-06-22 16:00:00+09:00,2.0,23.685,83.5,1007.5,4.325,230.5,0.0,0.0,20.5556,16.0934,1.0,269.817,44.4919
