time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
2022-06-19 01:00:00+09:00,5.871524448705657,23.03,91.12847555129434,1009.0,2.3941323106423775,152.17353787152445,0.0,0.0,20.19333333333333,19.193333333333335,0.0,6.704279861332907,-31.529640015081693
2022-06-19 02:00:00+09:00,5.0,20.046829268292683,92.0,1009.0,2.49,133.0,0.0,0.0,20.010169491525424,16.1,0.0,22.19636988825289,-28.440427755555096
2022-06-19 03:00:00+09:00,31.66851441241685,20.275570953436805,92.0,1008.0127494456763,2.3407649667405765,139.97450110864744,0.0,0.0,20.304918032786887,16.25737704918033,0.0,35.919393719267305,-22.43743662733186
2022-06-19 04:00:00+09:00,100.0,20.3803884572697,93.0,1008.0,2.77,142.0,0.0,0.0,20.40307692307692,19.004615384615384,0.0,47.557713706179925,-14.221449593862214
2022-06-19 05:00:00+09:00,100.0,22.03,93.0,1008.0,2.5576470588235294,133.88235294117646,0.0,0.0,20.495384615384616,10.143076923076922,0.0,57.378183129927606,-4.4446994531641595
2022-06-19 06:00:00+09:00,100.0,22.03,93.0,1008.0,2.32,122.0,0.0,0.0,20.6,10.055555555555555,0.037037037037037035,65.86141712552046,6.395444429633007
2022-06-19 07:00:00+09:00,100.0,20.854420442571126,92.01211801896733,1008.9878819810326,2.5274552160168597,152.62434141201265,0.0,0.0,20.6,19.3,1.0,73.51961147566863,17.94612458646881
2022-06-19 08:00:00+09:00,100.0,21.12354963948974,92.0,1009.0,3.3,177.0,0.0,0.0,20.7,16.1,1.0,80.8871036919005,29.953611311077303
2022-06-19 09:00:00+09:00,100.0,21.466668517490284,91.0,1009.0,3.63,188.0,0.0,0.0,20.705,16.18,1.0166666666666666,88.64913041401559,42.21339930267988
2022-06-19 10:00:00+09:00,53.0,21.902694444444442,89.0,1009.0,2.78,204.0,0.0,0.0,21.0,20.81864406779661,2.016949152542373,98.04357147466027,54.503319371605514
2022-06-19 11:00:00+09:00,43.0,22.129605555555557,87.0,1008.0,2.77,220.0,0.0,0.0,21.003333333333334,16.1,3.066666666666667,112.34195378405514,66.40143125421781
2022-06-19 12:00:00+09:00,36.0,22.704805555555556,85.0,1008.0,2.87,231.0,0.0,0.0,21.09016393442623,16.25737704918033,5.163934426229508,143.6122810793148,76.3123229857699
